songfile,recording,number_syllable,versatility,measurement_1_mean,measurement_2_mean,measurement_3_mean,measurement_4_mean,measurement_5_mean,measurement_1_min,measurement_2_min,measurement_3_min,measurement_4_min,measurement_5_min,measurement_1_max,measurement_2_max,measurement_3_max,measurement_4_max,measurement_5_max
rec1_001.wav,rec1,11,9,0.19223,5282.5028,5096.7273,5472,4913.4545,0.088229,2721.6842,3168,2784,2592,0.35444,7588.9655,8736,7968,7680
rec1_002.wav,rec1,12,7,0.19237,5042.19,5072,5064,4968,0.14102,3054.6885,3552,2880,2784,0.25104,6579.4783,7488,6720,6720
rec1_003.wav,rec1,8,4,0.19857,4948.8171,4860,4980,5124,0.12529,2993.7231,2592,2880,2784,0.25233,6314.9268,5856,6624,6720
rec1_004.wav,rec1,11,7,0.20603,5157.7907,5070.5455,5157.8182,5149.0909,0.14323,2939.0769,2880,2784,2688,0.25765,6706.7077,7104,6432,6816
rec2_001.wav,rec2,13,11,0.19721,5198.9754,4969.8462,5243.0769,5102.7692,0.13002,3078.5243,3072,3360,2400,0.30602,7157.1692,7680,7200,7104
rec2_002.wav,rec2,10,8,0.20672,5097.0348,5212.8,5193.6,5040,0.14421,2771.2,2976,2688,2496,0.24944,7279.6981,8256,7104,7296
rec2_003.wav,rec2,9,7,0.20694,5455.7847,5749.3333,5504,5504,0.1499,2691.5556,3072,2592,2496,0.24379,7350.5882,8256,7488,8064
rec2_004.wav,rec2,15,8,0.21891,4986.9031,5004.8,5043.2,4640,0.15862,2509.5929,2880,2400,2304,0.33904,7471.7746,6720,7680,7488
rec2_005.wav,rec2,15,11,0.21349,5246.3384,5004.8,5299.2,5062.4,0.16963,2637.037,2688,2592,2400,0.29283,7314.6667,7008,7488,7104
rec3_001.wav,rec3,19,12,0.2024,4990.876,4719.1579,4865.6842,4769.6842,0.13881,2681.2235,2880,2592,2688,0.26865,7630.9333,8256,7584,7392
rec3_002.wav,rec3,15,12,0.19486,5352.3933,4851.2,5472,4921.6,0.14323,2869.3333,2688,2976,2784,0.25544,7337.9155,6816,7968,7104
rec3_003.wav,rec3,12,10,0.2052,5225.909,4840,5384,4920,0.072833,2393.1429,2016,2400,2400,0.25104,7478.9434,8448,7968,6336
rec3_004.wav,rec3,12,10,0.20336,5520.4961,4992,5432,5472,0.13883,2713.8065,2304,2496,2976,0.27744,7478.026,6432,7968,7200
rec3_005.wav,rec3,14,8,0.20939,5221.0882,4978.2857,5252.5714,4902.8571,0.13883,2807.2727,2784,2784,2688,0.27083,7461,6432,7488,7392
